Nuclide,Default_Type,Age,AerosolDiam,F,M,S,QAFLAG
Pu-240   , M,7300,      1.00,  1.0560E-04,  4.8495E-05,  1.5172E-05,AAA
Pu-241   , M,7300,      1.00,  2.0220E-06,  8.8387E-07,  1.7759E-07,AAA
Pu-242   , M,7300,      1.00,  1.0043E-04,  4.6018E-05,  1.4236E-05,AAA
Pu-243   , M,7300,      1.00,  1.9185E-11,  6.2907E-11,  6.4882E-11,ABB
Pu-244   , M,7300,      1.00,  9.9015E-05,  4.5233E-05,  1.3832E-05,AAA
Pu-245   , M,7300,      1.00,  1.2973E-10,  3.0427E-10,  3.2382E-10,BAA
Pu-246   , M,7300,      1.00,  1.9819E-09,  3.6517E-09,  3.8002E-09,AAA
Ra-219   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ra-220   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ra-221   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ra-222   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ra-223   , M,7300,      1.00,  1.0691E-07,  5.3970E-06,  6.2985E-06,AAA
Ra-224   , M,7300,      1.00,  6.4896E-08,  2.1411E-06,  2.4198E-06,AAA
Ra-225   , M,7300,      1.00,  1.1318E-07,  4.6558E-06,  5.7425E-06,AAA
Ra-226   , M,7300,      1.00,  3.1473E-07,  2.6766E-06,  8.6297E-06,AAA
Ra-227   , M,7300,      1.00,  4.0689E-10,  2.5736E-10,  2.0881E-10,AAA
Ra-228   , M,7300,      1.00,  7.9660E-07,  2.5111E-06,  1.6208E-05,AAA
Ra-230   , M,7300,      1.00,  5.0507E-11,  8.6355E-11,  9.0267E-11,BBB
Rb-77    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rb-78    , M,7300,      1.00,  1.6227E-11,  2.3395E-11,  2.4185E-11,BBB
Rb-78m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rb-79    , M,7300,      1.00,  1.3718E-11,  2.2075E-11,  2.2993E-11,BBB
Rb-80    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rb-81    , M,7300,      1.00,  2.7218E-11,  5.3644E-11,  5.6576E-11,BBB
Rb-81m   , M,7300,      1.00,  5.5670E-12,  1.1886E-11,  1.2585E-11,BBB
Rb-82    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rb-82m   , M,7300,      1.00,  9.6284E-11,  1.2088E-10,  1.2362E-10,BBB
Rb-83    , M,7300,      1.00,  5.6494E-10,  9.8827E-10,  1.2822E-09,BAA
Rb-84    , M,7300,      1.00,  8.9387E-10,  2.1662E-09,  2.5634E-09,BAA
Rb-84m   , M,7300,      1.00,  3.7828E-12,  6.4136E-12,  6.8107E-12,BBB
Rb-86    , M,7300,      1.00,  8.0106E-10,  3.5530E-09,  4.1655E-09,AAA
Rb-86m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rb-87    , M,7300,      1.00,  4.4175E-10,  3.9639E-09,  1.4828E-08,AAA
Rb-88    , M,7300,      1.00,  1.3393E-11,  2.2054E-11,  2.3010E-11,BBB
Rb-89    , M,7300,      1.00,  1.1121E-11,  1.7215E-11,  1.8144E-11,BBB
Rb-90    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rb-90m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Re-178   , M,7300,      1.00,  9.1464E-12,  1.2367E-11,  1.2739E-11,BBB
Re-179   , M,7300,      1.00,  6.0103E-12,  8.4180E-12,  8.6893E-12,BBB
Re-180   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Re-181   , M,7300,      1.00,  1.5893E-10,  2.0363E-10,  2.0934E-10,BBB
Re-182   , M,7300,      1.00,  5.4076E-10,  1.0386E-09,  9.7029E-10,BBA
Re-182m  , M,7300,      1.00,  1.2322E-10,  1.6573E-10,  1.7056E-10,BBB
Re-183   , M,7300,      1.00,  2.9842E-10,  2.1840E-09,  2.8064E-09,AAA
Re-184   , M,7300,      1.00,  3.7990E-10,  1.5742E-09,  1.9345E-09,BAA
Re-184m  , M,7300,      1.00,  5.1028E-10,  5.3357E-09,  8.6932E-09,BAA
Re-186   , M,7300,      1.00,  4.2983E-10,  8.4912E-10,  9.0565E-10,AAA
Re-186m  , M,7300,      1.00,  7.1569E-10,  1.0573E-08,  6.0100E-08,AAA
Re-187   , M,7300,      1.00,  1.4915E-12,  5.7722E-12,  3.9916E-11,AAA
Re-188   , M,7300,      1.00,  3.9578E-10,  4.4035E-10,  4.4546E-10,AAA
Re-188m  , M,7300,      1.00,  8.6207E-12,  1.1727E-11,  1.1969E-11,ABB
Re-189   , M,7300,      1.00,  2.1750E-10,  3.2207E-10,  3.3431E-10,AAA
Re-190   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Re-190m  , M,7300,      1.00,  1.3195E-10,  1.5740E-10,  1.6023E-10,BBB
Rh-100   , M,7300,      1.00,  2.1876E-10,  2.7934E-10,  2.8621E-10,BBB
Rh-100m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-101   , M,7300,      1.00,  1.2458E-09,  1.9555E-09,  4.9572E-09,BAA
Rh-101m  , M,7300,      1.00,  7.9105E-11,  1.5689E-10,  1.6829E-10,BBB
Rh-102   , M,7300,      1.00,  1.2939E-09,  3.9094E-09,  6.9698E-09,BAA
Rh-102m  , M,7300,      1.00,  7.2122E-09,  7.3849E-09,  2.0062E-08,BAA
Rh-103m  , M,7300,      1.00,  6.4521E-13,  1.7703E-12,  1.9020E-12,BAA
Rh-104   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-104m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-105   , M,7300,      1.00,  6.7550E-11,  2.4352E-10,  2.6639E-10,BAA
Rh-106   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-106m  , M,7300,      1.00,  5.3625E-11,  8.5295E-11,  8.8792E-11,BBB
Rh-107   , M,7300,      1.00,  7.1438E-12,  1.2382E-11,  1.2960E-11,BBB
Rh-108   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-109   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-94    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-95    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-95m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-96    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-96m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-97    , M,7300,      1.00,  1.1854E-11,  1.8504E-11,  1.9244E-11,BBB
Rh-97m   , M,7300,      1.00,  1.5397E-11,  2.1674E-11,  2.2372E-11,BBB
Rh-98    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rh-99    , M,7300,      1.00,  2.8413E-10,  8.8432E-10,  1.0149E-09,BAA
Rh-99m   , M,7300,      1.00,  2.2980E-11,  3.2022E-11,  3.3024E-11,BBB
Rn-207   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-209   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-210   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-211   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-212   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-215   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-216   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-217   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-218   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-219   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-220   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-222   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Rn-223   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ru-103   , M,7300,      1.00,  4.1399E-10,  1.8604E-09,  2.2600E-09,BAA
Ru-105   , M,7300,      1.00,  5.7813E-11,  1.4536E-10,  1.5603E-10,BBB
Ru-106   , M,7300,      1.00,  7.0284E-09,  2.7424E-08,  6.6937E-08,AAA
Ru-107   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ru-108   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ru-92    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ru-94    , M,7300,      1.00,  2.1318E-11,  3.5593E-11,  3.7229E-11,BBB
Ru-95    , M,7300,      1.00,  2.1628E-11,  2.9049E-11,  2.9974E-11,BBB
Ru-97    , M,7300,      1.00,  5.2922E-11,  8.6731E-11,  9.1463E-11,BBB
S-35     , M,7300,      1.00,  4.3657E-11,  1.0795E-09,  1.4239E-09,BAA
S-37     , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
S-38     , M,7300,      1.00,  1.1327E-10,  2.2765E-10,  2.4093E-10,BBB
Sb-111   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sb-113   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sb-114   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sb-115   , M,7300,      1.00,  6.9526E-12,  1.0591E-11,  1.0992E-11,BBB
Sb-116   , M,7300,      1.00,  8.3089E-12,  1.1516E-11,  1.1869E-11,BBB
Sb-116m  , M,7300,      1.00,  2.5911E-11,  3.6645E-11,  3.7823E-11,BBB
Sb-117   , M,7300,      1.00,  7.2544E-12,  1.3179E-11,  1.3831E-11,BBB
Sb-118   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sb-118m  , M,7300,      1.00,  7.9085E-11,  9.9725E-11,  1.0195E-10,BBB
Sb-119   , M,7300,      1.00,  2.0506E-11,  3.0302E-11,  3.1402E-11,BBB
Sb-120   , M,7300,      1.00,  3.7170E-12,  5.6377E-12,  5.8493E-12,BBB
Sb-120m  , M,7300,      1.00,  4.7297E-10,  8.6859E-10,  9.2642E-10,BBB
Sb-122   , M,7300,      1.00,  2.6353E-10,  8.6546E-10,  9.4071E-10,AAA
Sb-122m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sb-124   , M,7300,      1.00,  1.1343E-09,  5.7751E-09,  7.8077E-09,BAA
Sb-124m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sb-124n  , M,7300,      1.00,  2.8028E-12,  5.1572E-12,  5.6819E-12,BBB
Sb-125   , M,7300,      1.00,  1.2583E-09,  4.2168E-09,  1.1354E-08,AAA
Sb-126   , M,7300,      1.00,  9.1237E-10,  2.6458E-09,  3.0060E-09,BAA
Sb-126m  , M,7300,      1.00,  1.0116E-11,  1.5556E-11,  1.6178E-11,BBB
Sb-127   , M,7300,      1.00,  3.6625E-10,  1.3484E-09,  1.5010E-09,BAA
Sb-128   , M,7300,      1.00,  2.0191E-10,  3.4059E-10,  3.5577E-10,BBB
Sb-128m  , M,7300,      1.00,  8.3362E-12,  1.1630E-11,  1.1991E-11,BBB
Sb-129   , M,7300,      1.00,  8.8268E-11,  1.9013E-10,  2.0232E-10,BBB
Sb-130   , M,7300,      1.00,  2.6947E-11,  4.1837E-11,  4.3473E-11,BBB
Sb-130m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sb-131   , M,7300,      1.00,  2.9956E-11,  3.6079E-11,  3.6236E-11,BBB
Sb-133   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sc-42m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sc-43    , M,7300,      1.00,  4.7840E-11,  9.4583E-11,  9.9757E-11,BBB
Sc-44    , M,7300,      1.00,  8.2065E-11,  1.4396E-10,  1.5082E-10,BBB
Sc-44m   , M,7300,      1.00,  6.0114E-10,  1.0777E-09,  1.1529E-09,BAA
Sc-46    , M,7300,      1.00,  5.7639E-09,  5.2372E-09,  5.9474E-09,BAA
Sc-47    , M,7300,      1.00,  1.3129E-10,  5.0006E-10,  5.5232E-10,BAA
Sc-48    , M,7300,      1.00,  5.0817E-10,  8.5889E-10,  9.0116E-10,BBB
Sc-49    , M,7300,      1.00,  1.3619E-11,  2.9877E-11,  3.1664E-11,BBB
Sc-50    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Se-70    , F,7300,      1.00,  3.1078E-11,  5.2775E-11,  5.5161E-11,BBB
Se-71    , F,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Se-72    , F,7300,      1.00,  1.6530E-09,  3.0411E-09,  3.3582E-09,BAA
Se-73    , F,7300,      1.00,  6.7979E-11,  1.5746E-10,  1.6926E-10,BBB
Se-73m   , F,7300,      1.00,  7.7880E-12,  1.6524E-11,  1.7639E-11,BBB
Se-75    , F,7300,      1.00,  8.7019E-10,  9.5625E-10,  1.2402E-09,BAA
Se-77m   , F,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Se-79    , F,7300,      1.00,  9.2876E-10,  1.9699E-09,  5.7692E-09,BAA
Se-79m   , F,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Se-81    , F,7300,      1.00,  6.3718E-12,  1.1037E-11,  1.1549E-11,BBB
Se-81m   , F,7300,      1.00,  1.3104E-11,  3.6646E-11,  3.9239E-11,BBB
Se-83    , F,7300,      1.00,  1.4714E-11,  2.5440E-11,  2.6628E-11,BBB
Se-83m   , F,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Se-84    , F,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Si-31    , M,7300,      1.00,  2.2176E-11,  5.8536E-11,  6.2560E-11,BBB
Si-32    , M,7300,      1.00,  2.8307E-09,  1.5877E-08,  1.1275E-07,AAA
Sm-139   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sm-140   , M,7300,      1.00,  1.6565E-11,  2.6081E-11,  2.7164E-11,BBB
Sm-141   , M,7300,      1.00,  8.1805E-12,  1.2453E-11,  1.2922E-11,BBB
Sm-141m  , M,7300,      1.00,  1.5659E-11,  2.5242E-11,  2.6300E-11,BBB
Sm-142   , M,7300,      1.00,  3.0656E-11,  5.8147E-11,  6.1181E-11,BBB
Sm-143   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sm-143m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sm-145   , M,7300,      1.00,  2.5229E-09,  1.5259E-09,  1.4789E-09,AAA
Sm-146   , M,7300,      1.00,  2.2369E-05,  1.0321E-05,  4.7273E-06,AAA
Sm-147   , M,7300,      1.00,  2.0439E-05,  9.3738E-06,  4.2409E-06,AAA
Sm-148   , M,7300,      1.00,  1.7576E-05,  7.9976E-06,  3.5576E-06,AAA
Sm-151   , M,7300,      1.00,  8.2069E-09,  3.8752E-09,  1.9119E-09,AAA
Sm-153   , M,7300,      1.00,  1.4717E-10,  4.8412E-10,  5.2811E-10,BAA
Sm-155   , M,7300,      1.00,  7.5225E-12,  1.3393E-11,  1.4032E-11,BBB
Sm-156   , M,7300,      1.00,  7.6309E-11,  1.7542E-10,  1.9241E-10,BAA
Sm-157   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sn-106   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sn-108   , M,7300,      1.00,  6.2205E-12,  9.2370E-12,  9.5693E-12,BBB
Sn-109   , M,7300,      1.00,  7.4873E-12,  9.4344E-12,  9.6998E-12,BBB
Sn-110   , M,7300,      1.00,  8.6136E-11,  1.3340E-10,  1.3866E-10,BBB
Sn-111   , M,7300,      1.00,  5.9895E-12,  9.8663E-12,  1.0307E-11,BBB
Sn-113   , M,7300,      1.00,  4.7827E-10,  2.4229E-09,  3.6781E-09,AAA
Sn-113m  , M,7300,      1.00,  1.4871E-12,  3.0934E-12,  3.3891E-12,BBB
Sn-117m  , M,7300,      1.00,  2.4732E-10,  1.8556E-09,  2.1471E-09,AAA
Sn-119m  , M,7300,      1.00,  2.5609E-10,  1.7424E-09,  2.8451E-09,AAA
Sn-121   , M,7300,      1.00,  5.0583E-11,  1.7023E-10,  1.8552E-10,BAA
Sn-121m  , M,7300,      1.00,  7.1270E-10,  3.7427E-09,  1.4238E-08,AAA
Sn-123   , M,7300,      1.00,  1.0295E-09,  7.4649E-09,  1.2149E-08,AAA
Sn-123m  , M,7300,      1.00,  1.0531E-11,  2.0949E-11,  2.2100E-11,BBB
Sn-125   , M,7300,      1.00,  7.5703E-10,  2.6995E-09,  3.0954E-09,AAA
Sn-125m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sn-126   , M,7300,      1.00,  1.0149E-08,  2.6917E-08,  1.5969E-07,AAA
Sn-127   , M,7300,      1.00,  5.4036E-11,  1.0693E-10,  1.1360E-10,BBB
Sn-127m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sn-128   , M,7300,      1.00,  4.0809E-11,  7.3652E-11,  7.7277E-11,BBB
Sn-129   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sn-130   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sn-130m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sr-79    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sr-80    , M,7300,      1.00,  6.9169E-11,  1.2523E-10,  1.3187E-10,BBB
Sr-81    , M,7300,      1.00,  1.5483E-11,  2.5136E-11,  2.6245E-11,BBB
Sr-82    , M,7300,      1.00,  1.8283E-09,  8.4653E-09,  1.0275E-08,AAA
Sr-83    , M,7300,      1.00,  1.4219E-10,  2.7126E-10,  2.9447E-10,BBB
Sr-85    , M,7300,      1.00,  3.2299E-10,  6.0702E-10,  7.9336E-10,BAA
Sr-85m   , M,7300,      1.00,  2.4009E-12,  3.4063E-12,  3.6168E-12,BBB
Sr-87m   , M,7300,      1.00,  9.4913E-12,  1.6086E-11,  1.6899E-11,BBB
Sr-89    , M,7300,      1.00,  8.7155E-10,  5.5018E-09,  7.2503E-09,AAA
Sr-90    , M,7300,      1.00,  2.0858E-08,  3.3840E-08,  1.5808E-07,AAA
Sr-91    , M,7300,      1.00,  1.3252E-10,  3.0834E-10,  3.4375E-10,BBB
Sr-92    , M,7300,      1.00,  8.0306E-11,  1.6973E-10,  1.8217E-10,BBB
Sr-93    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Sr-94    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ta-170   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ta-172   , M,7300,      1.00,  1.6103E-11,  2.7296E-11,  2.9021E-11,BBB
Ta-173   , M,7300,      1.00,  2.6809E-11,  5.8121E-11,  6.2042E-11,BBB
Ta-174   , M,7300,      1.00,  1.8366E-11,  3.6175E-11,  3.8142E-11,BBB
Ta-175   , M,7300,      1.00,  6.9291E-11,  1.1435E-10,  1.2073E-10,BBB
Ta-176   , M,7300,      1.00,  9.8466E-11,  1.5525E-10,  1.6160E-10,BBB
Ta-177   , M,7300,      1.00,  2.6764E-11,  7.3444E-11,  8.0146E-11,BAA
Ta-178   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ta-178m  , M,7300,      1.00,  2.8561E-11,  5.6038E-11,  5.9079E-11,BBB
Ta-179   , M,7300,      1.00,  8.8375E-11,  1.8030E-10,  4.8718E-10,BAA
Ta-180   , M,7300,      1.00,  1.1122E-11,  3.4028E-11,  3.6593E-11,BBB
Ta-182   , M,7300,      1.00,  1.7569E-09,  6.3164E-09,  8.7537E-09,BAA
Ta-182m  , M,7300,      1.00,  9.4336E-12,  1.6202E-11,  1.7124E-11,BBB
Ta-183   , M,7300,      1.00,  3.1363E-10,  1.5253E-09,  1.6969E-09,AAA
Ta-184   , M,7300,      1.00,  1.4066E-10,  3.1862E-10,  3.3849E-10,BBB
Ta-185   , M,7300,      1.00,  1.6023E-11,  3.6183E-11,  3.8623E-11,BBB
Ta-186   , M,7300,      1.00,  9.6039E-12,  1.3899E-11,  1.4372E-11,BBB
Tb-146   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tb-147   , M,7300,      1.00,  3.9541E-11,  5.8107E-11,  6.0370E-11,BBB
Tb-147m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tb-148   , M,7300,      1.00,  5.0970E-11,  4.6951E-11,  5.5352E-11,AAB
Tb-148m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tb-149   , M,7300,      1.00,  3.5167E-10,  2.7642E-09,  3.0336E-09,AAA
Tb-149m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tb-150   , M,7300,      1.00,  6.0784E-11,  8.5443E-11,  8.8172E-11,BBB
Tb-150m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tb-151   , M,7300,      1.00,  1.0803E-10,  1.8886E-10,  1.9885E-10,BBB
Tb-151m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tb-152   , M,7300,      1.00,  1.6162E-10,  2.5172E-10,  2.6193E-10,BBB
Tb-152m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tb-153   , M,7300,      1.00,  7.8794E-11,  1.8487E-10,  1.9821E-10,ABB
Tb-154   , M,7300,      1.00,  1.9709E-10,  2.8370E-10,  2.9361E-10,BBB
Tb-155   , M,7300,      1.00,  7.8744E-11,  2.1846E-10,  2.3857E-10,AAA
Tb-156   , M,7300,      1.00,  5.2560E-10,  9.5157E-10,  1.0137E-09,BBB
Tb-156m  , M,7300,      1.00,  8.4490E-11,  1.5304E-10,  1.6536E-10,BAA
Tb-156n  , M,7300,      1.00,  3.2269E-11,  7.6199E-11,  8.2731E-11,BAA
Tb-157   , M,7300,      1.00,  2.8506E-09,  1.3091E-09,  7.2837E-10,AAA
Tb-158   , M,7300,      1.00,  9.3325E-08,  4.5129E-08,  3.2008E-08,AAA
Tb-160   , M,7300,      1.00,  3.6919E-09,  5.9514E-09,  7.0583E-09,AAA
Tb-161   , M,7300,      1.00,  2.4560E-10,  9.7672E-10,  1.0881E-09,AAA
Tb-162   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tb-163   , M,7300,      1.00,  7.9263E-12,  1.2889E-11,  1.3437E-11,BBB
Tb-164   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tb-165   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tc-101   , M,7300,      1.00,  6.5994E-12,  9.3209E-12,  9.6214E-12,BBB
Tc-102   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tc-102m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tc-104   , M,7300,      1.00,  1.9569E-11,  2.3819E-11,  2.4291E-11,BBB
Tc-105   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tc-91    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tc-91m   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tc-92    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Tc-93    , M,7300,      1.00,  3.3867E-11,  3.7363E-11,  3.7774E-11,BBB
Tc-93m   , M,7300,      1.00,  1.4456E-11,  1.6686E-11,  1.6938E-11,BBB
Tc-94    , M,7300,      1.00,  9.4330E-11,  1.0420E-10,  1.0551E-10,BBB
Tc-94m   , M,7300,      1.00,  3.5063E-11,  3.7917E-11,  3.8242E-11,BBB
Tc-95    , M,7300,      1.00,  8.2643E-11,  8.9710E-11,  9.0864E-11,BBB
Tc-95m   , M,7300,      1.00,  2.5651E-10,  8.4482E-10,  1.1532E-09,BAA
Tc-96    , M,7300,      1.00,  4.8842E-10,  6.0538E-10,  6.2199E-10,BBB
Tc-96m   , M,7300,      1.00,  5.2591E-12,  6.2966E-12,  6.4417E-12,BBB
Tc-97    , M,7300,      1.00,  3.7538E-11,  2.1988E-10,  1.8168E-09,BAA
Tc-97m   , M,7300,      1.00,  2.3127E-10,  2.4627E-09,  3.2077E-09,BAA
Tc-98    , M,7300,      1.00,  7.9168E-10,  7.0650E-09,  4.2192E-08,BAA
Tc-99    , M,7300,      1.00,  2.4586E-10,  3.2658E-09,  1.2564E-08,AAA
Tc-99m   , M,7300,      1.00,  9.7358E-12,  1.4860E-11,  1.5440E-11,BBB
Te-113   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Te-114   , M,7300,      1.00,  1.5140E-11,  2.2607E-11,  2.3428E-11,BBB
Te-115   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Te-115m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Te-116   , M,7300,      1.00,  5.4333E-11,  9.6106E-11,  1.0132E-10,BBB
Te-117   , M,7300,      1.00,  1.6764E-11,  2.5389E-11,  2.6403E-11,BBB
Te-118   , M,7300,      1.00,  6.6703E-10,  2.0459E-09,  2.2683E-09,AAA
Te-119   , M,7300,      1.00,  6.3445E-11,  8.6120E-11,  9.0148E-11,BBB
Te-119m  , M,7300,      1.00,  2.8556E-10,  4.4703E-10,  4.7199E-10,BBB
Te-121   , M,7300,      1.00,  2.2414E-10,  3.7803E-10,  4.1371E-10,BBB
Te-121m  , M,7300,      1.00,  1.6205E-09,  3.5832E-09,  4.9795E-09,AAA
Te-123   , M,7300,      1.00,  1.0706E-09,  5.3169E-10,  2.6306E-10,AAA
Te-123m  , M,7300,      1.00,  8.3454E-10,  3.1200E-09,  4.0093E-09,AAA
Te-125m  , M,7300,      1.00,  4.4158E-10,  2.5778E-09,  3.1705E-09,AAA
Te-127   , M,7300,      1.00,  3.2109E-11,  9.6077E-11,  1.0564E-10,BAA
Te-127m  , M,7300,      1.00,  1.3501E-09,  6.0286E-09,  8.1310E-09,AAA
