Nuclide,Default_Type,Age,AerosolDiam,F,M,S,QAFLAG
Ga-65    , M,7300,      1.00,  8.7388E-12,  1.3352E-11,  1.3899E-11,BBB
Ga-66    , M,7300,      1.00,  2.0806E-10,  3.7184E-10,  3.9015E-10,BBB
Ga-67    , M,7300,      1.00,  5.5492E-11,  1.8331E-10,  2.0189E-10,BAA
Ga-68    , M,7300,      1.00,  2.1094E-11,  3.9652E-11,  4.1697E-11,BBB
Ga-70    , M,7300,      1.00,  6.9700E-12,  1.2451E-11,  1.3053E-11,BBB
Ga-72    , M,7300,      1.00,  2.4584E-10,  4.3449E-10,  4.5577E-10,BBB
Ga-73    , M,7300,      1.00,  4.5159E-11,  1.1331E-10,  1.2088E-10,BBB
Ga-74    , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Gd-142   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Gd-143m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Gd-144   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Gd-145   , M,7300,      1.00,  1.0282E-11,  1.3963E-11,  1.4389E-11,BBB
Gd-145m  , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Gd-146   , M,7300,      1.00,  3.7588E-09,  5.2883E-09,  6.0227E-09,AAA
Gd-147   , M,7300,      1.00,  2.2766E-10,  3.4534E-10,  3.6324E-10,BBB
Gd-148   , M,7300,      1.00,  2.2359E-05,  1.0797E-05,  5.9180E-06,AAA
Gd-149   , M,7300,      1.00,  2.8016E-10,  6.7838E-10,  7.5034E-10,AAA
Gd-150   , M,7300,      1.00,  2.1454E-05,  1.0092E-05,  5.1982E-06,AAA
Gd-151   , M,7300,      1.00,  8.2064E-10,  8.8832E-10,  1.0209E-09,AAA
Gd-152   , M,7300,      1.00,  1.6842E-05,  7.7646E-06,  3.8561E-06,AAA
Gd-153   , M,7300,      1.00,  1.8662E-09,  1.7894E-09,  2.0550E-09,AAA
Gd-159   , M,7300,      1.00,  8.4834E-11,  2.1646E-10,  2.3323E-10,BAA
Gd-162   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Ge-66    , M,7300,      1.00,  4.5282E-11,  7.6753E-11,  8.0292E-11,BBB
Ge-67    , M,7300,      1.00,  1.2139E-11,  1.9408E-11,  2.0224E-11,BBB
Ge-68    , M,7300,      1.00,  4.4030E-10,  1.3196E-08,  3.0508E-08,BAA
Ge-69    , M,7300,      1.00,  1.0778E-10,  2.0155E-10,  2.1295E-10,BBB
Ge-71    , M,7300,      1.00,  3.9801E-12,  9.9354E-12,  1.1243E-11,BAA
Ge-75    , M,7300,      1.00,  1.1917E-11,  2.8245E-11,  3.0046E-11,BBB
Ge-77    , M,7300,      1.00,  1.2078E-10,  3.0033E-10,  3.2135E-10,BBB
Ge-78    , M,7300,      1.00,  3.6762E-11,  7.6240E-11,  8.0614E-11,BBB
H-3      , F,7300,      1.00,  5.3677E-12,  4.5002E-11,  2.6719E-10,AAA
Hf-167   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Hf-169   , M,7300,      1.00,  0.0000E+00,  0.0000E+00,  0.0000E+00,BBB
Hf-170   , M,7300,      1.00,  1.2606E-10,  2.2159E-10,  2.3316E-10,BBB
Hf-172   , M,7300,      1.00,  2.9365E-08,  1.9433E-08,  2.3734E-08,AAA
Hf-173   , M,7300,      1.00,  6.2610E-11,  1.2759E-10,  1.3654E-10,BBB
Hf-174   , M,7300,      1.00,  2.7073E-05,  1.2356E-05,  4.9255E-06,AAA
Hf-175   , M,7300,      1.00,  6.1712E-10,  1.0185E-09,  1.2473E-09,AAA
Hf-177m  , M,7300,      1.00,  3.5644E-11,  6.9023E-11,  7.2709E-11,BBB
Hf-178m  , M,7300,      1.00,  1.9612E-07,  9.5111E-08,  6.7343E-08,AAA
Hf-179m  , M,7300,      1.00,  9.4889E-10,  3.0239E-09,  3.5017E-09,AAA
Hf-180m  , M,7300,      1.00,  4.8774E-11,  1.0351E-10,  1.0959E-10,BBB
Hf-181   , M,7300,      1.00,  1.2517E-09,  3.9473E-09,  4.7014E-09,AAA
Hf-182   , M,7300,      1.00,  2.6031E-07,  1.1865E-07,  6.4336E-08,AAA
Hf-182m  , M,7300,      1.00,  1.8125E-11,  3.7743E-11,  4.0223E-11,BBB
Hf-183   , M,7300,      1.00,  1.9917E-11,  4.5833E-11,  4.9022E-11,BBB
Hf-184   , M,7300,      1.00,  9.8122E-11,  2.5153E-10,  2.6869E-10,BBB
Hg-190   , M,7300,      1.00,  7.1963E-12,  1.0710E-11,  1.1097E-11,BBB
Hg-191m  , M,7300,      1.00,  1.8388E-11,  3.1899E-11,  3.3433E-11,BBB
Hg-192   , M,7300,      1.00,  6.0650E-11,  9.5816E-11,  9.9727E-11,BBB
Hg-193   , M,7300,      1.00,  3.0679E-11,  5.7219E-11,  6.0208E-11,BBB
Hg-193m  , M,7300,      1.00,  1.0753E-10,  2.0659E-10,  2.1790E-10,BBB
Hg-194   , M,7300,      1.00,  1.1707E-08,  8.0809E-09,  2.3738E-08,BBA
Hg-195   , M,7300,      1.00,  2.1837E-11,  5.7952E-11,  6.3175E-11,BBB
Hg-195m  , M,7300,      1.00,  1.1377E-10,  3.9185E-10,  4.3410E-10,BAA
Hg-197   , M,7300,      1.00,  5.0355E-11,  2.3782E-10,  2.6319E-10,BAA
Hg-197m  , M,7300,      1.00,  9.4735E-11,  4.0027E-10,  4.4070E-10,BAA
